"dt","modelloop","model","n","av","sex","ind"
"09292022 232135",96,"av",300,0,0,0
"09292022 232238",96,"ind",300,0.00333333333333333,0.00333333333333333,0.386666666666667
"09292022 232341",96,"sex",300,0.00333333333333333,0.00666666666666667,0.00333333333333333
"09292022 232441",96,"upd",300,0.00666666666666667,0.00666666666666667,0.07
"09292022 232135",97,"av",300,0,0.00333333333333333,0.00333333333333333
"09292022 232238",97,"ind",300,0.00666666666666667,0.00333333333333333,0.493333333333333
"09292022 232340",97,"sex",300,0,0.00333333333333333,0.0133333333333333
"09292022 232440",97,"upd",300,0.00333333333333333,0.00333333333333333,0.08
"09292022 232136",98,"av",300,0,0,0.00333333333333333
"09292022 232238",98,"ind",300,0.00333333333333333,0.00666666666666667,0.396666666666667
"09292022 232341",98,"sex",300,0.00333333333333333,0.00666666666666667,0
"09292022 232441",98,"upd",300,0,0.00333333333333333,0.08
"09292022 232135",99,"av",300,0.01,0.00333333333333333,0
"09292022 232239",99,"ind",300,0,0,0.4
"09292022 232341",99,"sex",300,0,0,0.01
"09292022 232442",99,"upd",300,0,0,0.0766666666666667
"09292022 232135",100,"av",300,0,0,0.00666666666666667
"09292022 232239",100,"ind",300,0,0.00333333333333333,0.486666666666667
"09292022 232341",100,"sex",300,0.00666666666666667,0,0.00333333333333333
"09292022 232441",100,"upd",300,0.00333333333333333,0,0.0666666666666667
